Titulo,Dominio,Fecha de Brecha,Datos Comprometidos,Verificada,Sensible
Wattpad,wattpad.com,2020-06-29,"Bios, Dates of birth, Email addresses, Genders, Geographic locations, IP addresses, Names, Passwords, Social media profiles, User website URLs, Usernames",Sí,No
FlipaClip,flipaclip.com,2024-11-18,"Dates of birth, Email addresses, Geographic locations, Names",Sí,No
